Order ID,Order Date,Dispatch Date,Delivery Date,Seller ID,Product Category,Price,Quantity,Warehouse Zone,Customer Rating,Review Text,Sentiment Score,Return Flag,Complaint Code,Delivery Method,Customer Region
O00098,5/29/2025,5/30/2025,6/7/2025,S046,Groceries,277.5,3,Kumasi,4,Low quality. Would not recommend at all.,0,No,No Complaint,Pickup,South East
O00099,6/7/2025,6/11/2025,6/18/2025,S007,Groceries,312.93,1,Kumasi,1,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,North Central
O00100,6/3/2025,6/7/2025,6/11/2025,S003,Home & Living,356.06,1,Lagos,3,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Express,Greater Accra
O00101,5/1/2025,5/1/2025,5/6/2025,S015,Toys,294.84,1,Kano,5,"Just received it, will see how it performs over time.",0,No,No Complaint,Pickup,Ashanti
O00102,4/27/2025,5/1/2025,5/4/2025,S033,Home & Living,474.15,1,Kano,3,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Express,Greater Accra
O00103,6/8/2025,6/12/2025,6/17/2025,S015,Toys,357.01,3,Lagos,4,,-0.75,No,No Complaint,Pickup,Ashanti
O00104,5/12/2025,5/14/2025,5/15/2025,S008,Electronics,131.87,3,Lagos,4,Low quality. Would not recommend at all.,0,No,No Complaint,Standard,Volta
O00105,5/23/2025,5/27/2025,6/4/2025,S034,Toys,37.59,4,Kumasi,4,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,Volta
O00106,6/21/2025,6/21/2025,6/21/2025,S012,Groceries,343.71,4,Kumasi,1,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Express,South East
O00107,4/19/2025,4/22/2025,4/26/2025,S014,Health,223.8,2,Accra,1,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Pickup,South East
O00108,4/14/2025,4/16/2025,4/18/2025,S013,Health,460.37,4,Accra,5,Low quality. Would not recommend at all.,0,No,No Complaint,Pickup,Volta
O00109,4/28/2025,4/28/2025,4/28/2025,S045,Health,266.32,1,Kano,4,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Pickup,South East
O00110,6/8/2025,6/8/2025,6/17/2025,S042,Home & Living,296.31,4,Kano,5,Fake product and horrible packaging.,-0.75,No,No Complaint,Express,North Central
O00111,4/9/2025,4/12/2025,4/16/2025,S011,Electronics,446.23,4,Kano,3,Fake product and horrible packaging.,-0.75,No,No Complaint,Standard,Greater Accra
O00112,5/2/2025,5/3/2025,5/4/2025,S046,Toy,102.18,2,,3,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,South East
O00113,5/15/2025,5/17/2025,5/22/2025,S001,Living & Home,186.57,4,,1,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,South East
O00114,5/17/2025,5/20/2025,5/22/2025,S050,Fashon,211.49,1,,5,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,South West
O00115,6/13/2025,6/17/2025,6/25/2025,S019,,475.4,4,Kano,3,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Pickup,Volta
O00116,4/25/2025,4/27/2025,5/1/2025,S033,,467.04,2,Accra,1,"Delivery was average, product as expected.",-0.125,No,No Complaint,Standard,Greater Accra
O00117,4/25/2025,4/25/2025,4/29/2025,S018,,407.17,4,Accra,4,"Just received it, will see how it performs over time.",0,No,No Complaint,Express,Volta
O00118,5/3/2025,5/5/2025,5/5/2025,S026,Home & Living,202.56,3,Accra,5,Superb service and product. Will buy again.,1,No,No Complaint,Express,Ashanti
O00119,5/3/2025,5/3/2025,5/7/2025,S039,Toys,239.66,3,Accra,1,Low quality. Would not recommend at all.,0,No,No Complaint,Pickup,Greater Accra
O00120,6/7/2025,6/11/2025,6/16/2025,S041,Fashion,408.32,3,Accra,5,Superb service and product. Will buy again.,1,No,No Complaint,Express,South East
O00121,4/12/2025,4/16/2025,4/25/2025,S030,Health,296.72,1,Kumasi,5,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,South West
O00122,5/22/2025,5/22/2025,5/22/2025,S009,Toys,131.2,2,Accra,5,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,North Central
O00123,6/13/2025,6/13/2025,6/13/2025,S023,Home & Living,307.03,2,Kano,4,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Express,South East
O00124,6/20/2025,6/21/2025,6/30/2025,S027,Fashion,32.98,3,Accra,4,Fake product and horrible packaging.,-0.75,No,No Complaint,Standard,North Central
O00125,6/14/2025,6/15/2025,6/15/2025,S037,Health,388.44,3,Kumasi,4,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,North Central
O00126,4/7/2025,4/9/2025,4/17/2025,S025,Electronics,284.86,2,Lagos,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Standard,Greater Accra
O00127,4/16/2025,4/20/2025,4/24/2025,S033,Home & Living,245.22,3,Kumasi,4,Fake product and horrible packaging.,-0.75,No,No Complaint,Pickup,North Central
O00128,4/28/2025,5/1/2025,5/2/2025,S028,Electronics,404.47,3,Accra,3,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Standard,Volta
O00129,5/12/2025,5/14/2025,5/16/2025,S021,Fashion,299.06,2,Kano,5,"Met my expectations, nothing more.",0.5,No,No Complaint,Standard,South East
O00130,4/11/2025,4/11/2025,4/18/2025,S025,Groceries,180.65,2,Kumasi,5,Very disappointed. Not what was shown online.,-0.975,No,,Express,South East
O00131,6/4/2025,6/6/2025,6/6/2025,S020,Groceries,156,2,Accra,5,Arrived late and the item looks used.,-0.3,No,No Complaint,Express,South West
O00132,4/20/2025,4/20/2025,4/29/2025,S017,Home & Living,82.07,4,Lagos,4,Fake product and horrible packaging.,-0.75,No,No Complaint,Standard,Ashanti
O00133,4/28/2025,4/29/2025,5/4/2025,S039,Electronics,42.46,1,Lagos,4,Item arrived in perfect condition and works well.,1,No,No Complaint,Standard,South West
O00134,5/31/2025,6/2/2025,,S035,Electronics,171.09,3,Lagos,4,"Met my expectations, nothing more.",0.5,No,No Complaint,Express,North Central
O00135,4/15/2025,4/17/2025,,S013,Toys,235.46,4,Lag,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,South East
O00136,4/12/2025,4/12/2025,4/14/2025,S020,Groceries,98.23,4,Lagos,5,Low quality. Would not recommend at all.,0,No,No Complaint,Standard,Ashanti
O00137,5/24/2025,5/25/2025,6/3/2025,S028,Toys,262.47,4,Kumasi,3,"Delivery was average, product as expected.",-0.125,No,No Complaint,Express,Volta
O00138,5/10/2025,5/13/2025,5/22/2025,S034,Home & Living,412.68,2,Accra,2,"It's okay, not too bad but not amazing either.",-0.166666667,Yes,Wrong Item,Express,North Central
O00139,6/22/2025,6/25/2025,7/4/2025,S035,Toys,69.11,1,Kumasi,5,,0.420833333,No,No Complaint,Express,North Central
O00140,5/17/2025,5/21/2025,5/29/2025,S016,Health,73.09,2,Lagos,1,"Met my expectations, nothing more.",0.5,No,No Complaint,Pickup,North Central
O00141,6/25/2025,6/27/2025,6/27/2025,S009,Health,347.01,4,Kano,3,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,Ashanti
O00142,6/5/2025,6/7/2025,6/10/2025,S032,Fashion,405.04,1,Lagos,3,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Express,Volta
O00143,5/9/2025,5/10/2025,5/16/2025,S039,Electronics,191.53,2,Lagos,4,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Standard,Volta
O00144,6/5/2025,6/7/2025,6/14/2025,S045,Home & Living,363.05,2,Accra,2,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,North Central
O00145,5/18/2025,5/21/2025,5/22/2025,S036,Home & Living,423.78,3,Kumasi,3,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Express,Greater Accra
O00146,4/18/2025,4/18/2025,4/24/2025,S005,Electronics,270.98,3,Kumasi,3,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Standard,South West
O00147,5/10/2025,5/10/2025,5/16/2025,S042,Electronics,19.83,1,Kumasi,1,"Just received it, will see how it performs over time.",0,No,No Complaint,Express,Greater Accra
O00148,5/20/2025,5/23/2025,5/31/2025,S038,Toys,124.28,1,Accra,4,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,Volta
O00149,4/27/2025,4/28/2025,5/1/2025,S031,Groceries,396.69,1,Kumasi,4,Arrived late and the item looks used.,-0.3,No,No Complaint,Pickup,North Central
O00150,4/7/2025,4/7/2025,4/9/2025,S048,Groceries,297.55,4,Accra,3,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,South West
O00151,6/4/2025,6/5/2025,6/6/2025,S037,Fashion,175.35,4,Lagos,3,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,South West
O00152,5/8/2025,5/12/2025,5/20/2025,S016,Electronics,254.14,2,Kano,3,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Express,Volta
O00153,6/5/2025,6/8/2025,6/15/2025,S043,Fashion,59.87,2,Kumasi,5,,0.5,No,No Complaint,Pickup,North Central
O00154,5/25/2025,5/29/2025,6/1/2025,S005,Health,49.31,3,Lagos,5,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Express,Greater Accra
O00155,4/20/2025,4/23/2025,4/26/2025,S003,Toy,449.34,4,Kumasi,1,,-0.975,No,No Complaint,Standard,Ashanti
O00156,4/27/2025,4/29/2025,5/7/2025,S045,Living & Home,250.47,2,Lagos,4,"Met my expectations, nothing more.",0.5,No,,Standard,Ashanti
O00157,4/22/2025,4/24/2025,4/28/2025,S008,Fashon,272.17,2,Accra,2,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Standard,South East
O00158,6/20/2025,6/23/2025,6/23/2025,S001,Toys,218.46,1,Kumasi,4,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,South West
O00159,5/13/2025,5/17/2025,5/20/2025,S041,Toys,356.54,2,Kano,3,"Just received it, will see how it performs over time.",0,No,No Complaint,Standard,South East
O00160,5/19/2025,5/20/2025,5/27/2025,S046,Electronics,301,2,Lagos,2,Arrived late and the item looks used.,-0.3,Yes,Wrong Color,Express,Ashanti
O00161,6/19/2025,6/20/2025,6/23/2025,S044,Health,495.08,1,Kano,3,Arrived late and the item looks used.,-0.3,No,No Complaint,Pickup,South East
O00162,5/19/2025,5/19/2025,5/26/2025,S005,Home & Living,343.94,1,Kumasi,4,"Met my expectations, nothing more.",0.5,No,No Complaint,Pickup,South West
O00163,6/17/2025,6/17/2025,6/21/2025,S019,Electronics,399.2,3,Kano,5,Superb service and product. Will buy again.,1,No,No Complaint,Pickup,Greater Accra
O00164,6/1/2025,6/5/2025,6/12/2025,S009,Electronics,482.86,2,Kumasi,5,"Met my expectations, nothing more.",0.5,No,No Complaint,Express,North Central
O00165,5/8/2025,5/10/2025,5/10/2025,S042,Fashion,110.45,3,Lag,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Express,South West
O00166,6/23/2025,6/27/2025,7/4/2025,S008,Health,291.49,4,,5,Terrible experience. Product was broken.,-0.7,No,No Complaint,Express,South West
O00167,6/12/2025,6/14/2025,6/18/2025,S009,Health,377.75,4,,2,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Pickup,Volta
O00168,5/10/2025,5/13/2025,5/21/2025,S013,Toys,320.54,2,,5,Low quality. Would not recommend at all.,0,No,No Complaint,Standard,North Central
O00169,4/18/2025,4/20/2025,4/25/2025,S030,Electronics,202.3,4,,4,Item arrived in perfect condition and works well.,1,No,No Complaint,Pickup,South East
O00170,6/1/2025,6/1/2025,6/1/2025,S015,Toys,224.98,1,,5,Terrible experience. Product was broken.,-0.7,No,No Complaint,Pickup,Ashanti
O00171,4/10/2025,4/14/2025,4/21/2025,S033,Health,198.11,2,Accra,3,"Met my expectations, nothing more.",0.5,No,No Complaint,Pickup,South West
